,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
4,Jack Black(I),Jack Black,8/28/69,"Hermosa Beach, California, USA","['School of Rock', 'Nacho Libre', 'King Kong', 'High Fidelity']",11,48,https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0085312/awards?ref_=nm_ql_2
5,Mark Wahlberg(I),Mark Wahlberg,6/5/71,"Dorchester, Boston, Massachusetts, USA","['The Fighter', 'The Departed', 'Boogie Nights', 'Ted']",21,71,https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000242/awards?ref_=nm_ql_2
6,Josh Brolin,Josh Brolin,2/12/68,"Santa Monica, California, USA","['No Country for Old Men', 'Avengers: Infinity War', 'Inherent Vice', 'Milk']",16,52,https://www.imdb.com/name/nm0000982/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000982/awards?ref_=nm_ql_2
7,Tom Cruise,Tom Cruise,7/3/62,"Syracuse, New York, USA","['Top Gun', 'The Last Samurai', 'Jerry Maguire', 'Minority Report']",52,81,https://www.imdb.com/name/nm0000129/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000129/awards?ref_=nm_ql_2
8,Anna Faris,Anna Faris,11/29/76,"Baltimore, Maryland, USA","['The House Bunny', 'Just Friends', 'Scary Movie 4', 'Brokeback Mountain']",1,22,https://www.imdb.com/name/nm0267506/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0267506/awards?ref_=nm_ql_2
9,Hayden Christensen,Hayden Christensen,4/19/81,"Vancouver, British Columbia, Canada","['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode II - Attack of the Clones', 'Jumper', 'Shattered Glass']",9,19,https://www.imdb.com/name/nm0159789/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0159789/awards?ref_=nm_ql_2
10,Steve Carell,Steve Carell,8/16/62,"Concord, Massachusetts, USA","['The Office', 'The 40 Year Old Virgin', 'Foxcatcher', 'Little Miss Sunshine']",33,130,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0136797/awards?ref_=nm_ql_2
11,Tom Hardy(I),Tom Hardy,9/15/77,"Hammersmith, London, England, UK","['Inception', 'The Dark Knight Rises', 'Locke', 'Mad Max: Fury Road']",17,78,https://www.imdb.com/name/nm0362766/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0362766/awards?ref_=nm_ql_2
12,Philip Seymour Hoffman(1967_2014),Philip Seymour Hoffman,7/23/67,"Fairport, New York, USA","['The Master', 'Capote', ""Charlie Wilson's War"", 'Almost Famous']",90,99,https://www.imdb.com/name/nm0000450/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000450/awards?ref_=nm_ql_2
13,Ben Barnes(I),Ben Barnes,8/20/81,"London, England, UK","['The Chronicles of Narnia: Prince Caspian', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'The Big Wedding', 'Dorian Gray']",0,5,https://www.imdb.com/name/nm1602660/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1602660/awards?ref_=nm_ql_2
14,Jim Sturgess,Jim Sturgess,5/16/78,"Wandsworth, London, England, UK","['21', 'Across the Universe', 'Cloud Atlas', 'The Best Offer']",2,3,https://www.imdb.com/name/nm0836343/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0836343/awards?ref_=nm_ql_2
15,Paris Hilton,Paris Hilton,2/17/81,"New York City, New York, USA","['The Hottie & the Nottie', 'House of Wax', 'Repo! The Genetic Opera', 'Pledge This!']",6,14,https://www.imdb.com/name/nm0385296/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0385296/awards?ref_=nm_ql_2
16,Sean Faris,Sean Faris,3/25/82,"Houston, Texas, USA","['Never Back Down', 'Sleepover', 'Yours, Mine & Ours', 'Pearl Harbor']",2,2,https://www.imdb.com/name/nm0267511/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0267511/awards?ref_=nm_ql_2
17,Jason Statham,Jason Statham,7/26/67,"Shirebrook, Derbyshire, England, UK","['Crank', 'Furious 7', 'Spy', 'The Meg']",1,3,https://www.imdb.com/name/nm0005458/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005458/awards?ref_=nm_ql_2
18,Jim Carrey,Jim Carrey,1/17/62,"Newmarket, Ontario, Canada","['The Truman Show', 'Bruce Almighty', 'Ace Ventura: Pet Detective', 'Eternal Sunshine of the Spotless Mind']",48,95,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000120/awards?ref_=nm_ql_2
19,John Travolta(I),John Travolta,2/18/54,"Englewood, New Jersey, USA","['Battlefield Earth', 'Hairspray', 'Face/Off', 'Get Shorty']",52,60,https://www.imdb.com/name/nm0000237/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000237/awards?ref_=nm_ql_2
20,Mike Vogel(I),Mike Vogel,7/17/79,"Abington, Pennsylvania, USA","['The Help', 'Cloverfield', ""She's Out of My League"", 'The Texas Chainsaw Massacre']",8,5,https://www.imdb.com/name/nm1036181/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1036181/awards?ref_=nm_ql_2
21,Katherine Heigl,Katherine Heigl,11/24/78,"Washington, District of Columbia, USA","['One for the Money', 'Knocked Up', 'The Ugly Truth', ""Grey's Anatomy""]",9,30,https://www.imdb.com/name/nm0001337/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001337/awards?ref_=nm_ql_2
22,Kåre Hedebrant,Kåre Hedebrant,6/28/95,"Stockholm, Sweden","['Let the Right One In', 'Amors baller', '_kta människor', 'Anno 1790']",1,4,https://www.imdb.com/name/nm2968765/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2968765/awards?ref_=nm_ql_2
23,Keanu Reeves,Keanu Reeves,9/2/64,"Beirut, Lebanon","['The Matrix', 'Speed', 'Point Break', 'The Matrix Reloaded']",12,22,https://www.imdb.com/name/nm0000206/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000206/awards?ref_=nm_ql_2
24,Carmen Electra,Carmen Electra,4/20/72,"Sharonville, Ohio, USA","['Scary Movie 4', 'Meet the Spartans', 'Epic Movie', 'Scary Movie']",2,6,https://www.imdb.com/name/nm0001182/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001182/awards?ref_=nm_ql_2
25,Belén Fabra,Belén Fabra,11/3/77,"Tortosa, Tarragona, Catalonia, Spain","['Diary of a Nymphomaniac', 'Gran Reserva', 'El ministerio del tiempo', 'Imperium']",0,2,https://www.imdb.com/name/nm1564103/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1564103/awards?ref_=nm_ql_2
26,Sarah Jessica Parker,Sarah Jessica Parker,3/25/65,"Nelsonville, Ohio, USA","['Sex and the City', 'Sex and the City 2', 'Sex and the City', 'The Family Stone']",29,45,https://www.imdb.com/name/nm0000572/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000572/awards?ref_=nm_ql_2
27,Donnie Yen,Donnie Yen,7/27/63,"Canton, China","['Yip Man', 'Ip Man 2', 'Rogue One', 'Yip Man 3']",19,20,https://www.imdb.com/name/nm0947447/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0947447/awards?ref_=nm_ql_2
28,Kelly Reilly(I),Kelly Reilly,7/18/77,"Surrey, England, UK","['Flight', 'Eden Lake', 'Pride & Prejudice', 'Sherlock Holmes']",7,4,https://www.imdb.com/name/nm0717709/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0717709/awards?ref_=nm_ql_2
29,Keira Knightley,Keira Knightley,3/26/85,"Teddington, Middlesex, England, UK","['Pirates of the Caribbean: The Curse of the Black Pearl', 'Atonement', 'Pride & Prejudice', 'The Imitation Game']",28,97,https://www.imdb.com/name/nm0461136/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0461136/awards?ref_=nm_ql_2
30,Gabriel Macht,Gabriel Macht,1/22/72,"The Bronx, New York City, New York, USA","['The Good Shepherd', 'Suits', 'The Spirit', 'Because I Said So']",1,1,https://www.imdb.com/name/nm0532683/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0532683/awards?ref_=nm_ql_2
31,Ryan Reynolds(I),Ryan Reynolds,10/23/76,"Vancouver, British Columbia, Canada","['Deadpool', 'Deadpool 2', 'X-Men Origins: Wolverine', 'Buried']",17,47,https://www.imdb.com/name/nm0005351/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005351/awards?ref_=nm_ql_2
32,Shawn Ashmore,Shawn Ashmore,10/7/79,"Richmond, British Columbia, Canada","['X2: X-Men United', 'Frozen', 'X-Men: The Last Stand', 'X-Men']",4,9,https://www.imdb.com/name/nm0039162/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0039162/awards?ref_=nm_ql_2
33,Ray Stevenson(I),Ray Stevenson,5/25/64,"Lisburn, Northern Ireland, UK","['Thor', 'The Three Musketeers', 'Thor: The Dark World', 'Kill the Irishman']",0,1,https://www.imdb.com/name/nm0829032/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0829032/awards?ref_=nm_ql_2
34,Rhona Mitra,Rhona Mitra,8/9/76,"Paddington, London, England, UK","['Underworld: Rise of the Lycans', 'Doomsday', 'The Life of David Gale', 'Boston Legal']",0,1,https://www.imdb.com/name/nm0593961/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0593961/awards?ref_=nm_ql_2
35,Paul Rudd(I),Paul Rudd,4/6/69,"Passaic, New Jersey, USA","['Ant-Man', 'I Love You, Man', 'Ant-Man and the Wasp', 'The 40 Year Old Virgin']",8,19,https://www.imdb.com/name/nm0748620/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0748620/awards?ref_=nm_ql_2
36,Cate Blanchett,Cate Blanchett,5/14/69,"Melbourne, Victoria, Australia","['Carol', 'Elizabeth', 'Blue Jasmine', 'The Aviator']",152,185,https://www.imdb.com/name/nm0000949/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000949/awards?ref_=nm_ql_2
37,Sean Penn(I),Sean Penn,8/17/60,"Santa Monica, California, USA","['Mystic River', 'Milk', '21 Grams', 'Dead Man Walking']",73,106,https://www.imdb.com/name/nm0000576/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000576/awards?ref_=nm_ql_2
38,Stuart Graham(I),Stuart Graham,1967-0-0,NA,"['Hunger', 'Tinker Tailor Soldier Spy', 'The Good Word', 'The Whistleblower']",1,1,https://www.imdb.com/name/nm0334324/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0334324/awards?ref_=nm_ql_2
39,Emile Hirsch,Emile Hirsch,3/13/85,"Palms, California, USA","['Into the Wild', 'The Girl Next Door', 'Speed Racer', 'Milk']",6,25,https://www.imdb.com/name/nm0386472/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0386472/awards?ref_=nm_ql_2
40,Vinnie Jones,Vinnie Jones,1/5/65,"Watford, Hertfordshire, England, UK","['Snatch', 'Lock, Stock and Two Smoking Barrels', 'The Midnight Meat Train', 'X-Men: The Last Stand']",3,2,https://www.imdb.com/name/nm0005068/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005068/awards?ref_=nm_ql_2
41,Jennifer Carpenter(III),Jennifer Carpenter,12/7/79,"Louisville, Kentucky, USA","['Dexter', 'The Exorcism of Emily Rose', 'Quarantine', 'White Chicks']",5,23,https://www.imdb.com/name/nm1358539/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1358539/awards?ref_=nm_ql_2
42,Patrick Dempsey(I),Patrick Dempsey,1/13/66,"Lewiston, Maine, USA","[""Grey's Anatomy"", ""Can't Buy Me Love"", 'Enchanted', 'Transformers: Dark of the Moon']",8,21,https://www.imdb.com/name/nm0001131/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001131/awards?ref_=nm_ql_2
43,Nicole Kidman,Nicole Kidman,6/20/67,"Honolulu, Hawaii, USA","['Moulin Rouge!', 'The Hours', 'Cold Mountain', 'The Others']",96,198,https://www.imdb.com/name/nm0000173/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000173/awards?ref_=nm_ql_2
44,Michael Cera,Michael Cera,6/7/88,"Brampton, Ontario, Canada","['Superbad', 'Juno', 'Scott Pilgrim vs. the World', ""Nick and Norah's Infinite Playlist""]",7,26,https://www.imdb.com/name/nm0148418/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0148418/awards?ref_=nm_ql_2
45,Owen Wilson(I),Owen Wilson,11/18/68,"Dallas, Texas, USA","['The Royal Tenenbaums', 'Wedding Crashers', 'Bottle Rocket', 'Midnight in Paris']",14,50,https://www.imdb.com/name/nm0005562/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005562/awards?ref_=nm_ql_2
46,Robert De Niro,Robert De Niro,8/17/43,"New York City, New York, USA","['Raging Bull', 'Cape Fear', 'Taxi Driver', 'Mean Streets']",56,98,https://www.imdb.com/name/nm0000134/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000134/awards?ref_=nm_ql_2
47,Shia LaBeouf,Shia LaBeouf,6/11/86,"Los Angeles, California, USA","['Transformers', 'American Honey', 'Fury', 'Lawless']",14,43,https://www.imdb.com/name/nm0479471/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0479471/awards?ref_=nm_ql_2
48,Emma Roberts(II),Emma Roberts,2/10/91,"Rhinebeck, New York, USA","[""We're the Millers"", 'Aquamarine', 'The Art of Getting By', 'Nerve']",6,26,https://www.imdb.com/name/nm0731075/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0731075/awards?ref_=nm_ql_2
49,Jürgen Vogel,Jürgen Vogel,4/29/68,"Hamburg, West Germany","['The Wave', 'Der freie Wille', 'Kleine Haie', 'Das Leben ist eine Baustelle.']",13,8,https://www.imdb.com/name/nm0900915/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0900915/awards?ref_=nm_ql_2
50,Saoirse Ronan,Saoirse Ronan,4/12/94,"The Bronx, New York City, New York, USA","['Hanna', 'Brooklyn', 'Atonement', 'The Lovely Bones']",63,140,https://www.imdb.com/name/nm1519680/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1519680/awards?ref_=nm_ql_2
51,Georgia Groome,Georgia Groome,2/11/92,"Nottingham, England, UK","['Angus, Thongs and Perfect Snogging', 'The Holding', 'Inspector Lewis', 'The Cottage']",1,1,https://www.imdb.com/name/nm2102872/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2102872/awards?ref_=nm_ql_2
52,Jackie Chan(I),Jackie Chan,4/7/54,"Victoria Peak, Hong Kong","['Ngo si seoi', 'Rush Hour 2', 'Rush Hour', 'Shanghai Noon']",42,49,https://www.imdb.com/name/nm0000329/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000329/awards?ref_=nm_ql_2
53,Woody Harrelson,Woody Harrelson,7/23/61,"Midland, Texas, USA","['True Detective', 'The People vs. Larry Flynt', 'Natural Born Killers', 'Zombieland']",27,91,https://www.imdb.com/name/nm0000437/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000437/awards?ref_=nm_ql_2
54,Jackie Earle Haley,Jackie Earle Haley,7/14/61,"Northridge, California, USA","['Watchmen', 'Little Children', 'A Nightmare on Elm Street', 'Shutter Island']",12,17,https://www.imdb.com/name/nm0355097/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0355097/awards?ref_=nm_ql_2
55,Sam Worthington,Sam Worthington,8/2/76,"Godalming, Surrey, England, UK","['Avatar', 'Terminator Salvation', 'Clash of the Titans', 'Man on a Ledge']",6,17,https://www.imdb.com/name/nm0941777/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0941777/awards?ref_=nm_ql_2
56,Zach Galifianakis,Zach Galifianakis,10/1/69,"Wilkesboro, North Carolina, USA","['The Hangover', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Due Date', 'The Hangover Part III']",22,35,https://www.imdb.com/name/nm0302108/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0302108/awards?ref_=nm_ql_2
57,Jared Padalecki,Jared Padalecki,7/19/82,"San Antonio, Texas, USA","['Supernatural', 'House of Wax', 'Friday the 13th', 'Gilmore Girls']",2,16,https://www.imdb.com/name/nm0655585/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0655585/awards?ref_=nm_ql_2
58,Hugh Jackman,Hugh Jackman,10/12/68,"Sydney, New South Wales, Australia","['Les Misérables', 'Logan', 'X-Men Origins: Wolverine', 'X-Men']",29,89,https://www.imdb.com/name/nm0413168/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0413168/awards?ref_=nm_ql_2
